,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
5,Faanui,PF,79.83,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
9,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
11,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
22,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Tumkur,IN,75.4,clear sky,13.3422,77.1017,Vaishali Comforts
24,Rikitea,PF,73.17,light rain,-23.1203,-134.9692,People ThankYou
29,Lutz,US,75.78,clear sky,28.1511,-82.4615,Paradise Lakes Resort
34,Zunyi,CN,73.85,overcast clouds,27.6867,106.9072,Bishiluo Hostel
35,Khandbari,NP,73.2,few clouds,27.3747,87.2039,Sainik Hotel And Lodge
39,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
41,Houston,US,78.13,haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
49,Karratha,AU,85.89,clear sky,-20.7377,116.8463,ibis Styles Karratha
52,Kuala Terengganu,MY,86.99,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
53,Ponta Do Sol,PT,72.01,light rain,32.6667,-17.1,Hotel do Campo
54,Bridge City,US,75.97,clear sky,30.0208,-93.8457,La Quinta Inn & Suites by Wyndham Bridge City
59,Alta Gracia,AR,72.37,few clouds,-31.6529,-64.4283,Hotel Ritz
71,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
73,Hobe Sound,US,76.98,clear sky,27.0595,-80.1364,Floridays RV Park
74,Hithadhoo,MV,82.38,few clouds,-0.6,73.0833,Scoop Guest House
75,Sur,OM,86.49,clear sky,22.5667,59.5289,Sur Plaza Hotel
77,Port Augusta,AU,77.14,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
81,Laguna De Perlas,NI,77.88,light rain,12.3429,-83.6712,Hotel Best View
82,Coahuayana,MX,75.67,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
83,Atuona,PF,76.78,clear sky,-9.8,-139.0333,Villa Enata
85,Saint-Pierre,RE,77.92,clear sky,-21.3393,55.4781,Alize Plage
86,Batticaloa,LK,84.76,scattered clouds,7.7102,81.6924,Grand Star Guest House
88,Samarai,PG,83.43,scattered clouds,-10.6167,150.6667,Nuli Sapi
96,Arraial Do Cabo,BR,70.99,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
98,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
99,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
100,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
111,Maxixe,MZ,78.62,broken clouds,-23.8597,35.3472,Oceano
119,Victoria,HK,80.96,overcast clouds,22.2855,114.1577,Mini Central
120,Sao Filipe,CV,76.53,clear sky,14.8961,-24.4956,Hotel Xaguate
121,Son La,VN,80.1,broken clouds,21.3167,103.9,Galaxy Grand Hotel
125,Bandarbeyla,SO,80.17,broken clouds,9.4942,50.8122,JABIR HOTEL
126,Tamiahua,MX,76.5,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
127,Pontianak,ID,84.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
130,Garcia,MX,76.86,few clouds,25.8167,-100.5833,MONASTERIO FRANSISCANO POR LA PAZ
134,Meulaboh,ID,85.8,broken clouds,4.1363,96.1285,Kost Pria
135,Pochutla,MX,75.81,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
139,Butaritari,KI,81.72,few clouds,3.0707,172.7902,Isles Sunset Lodge
143,Georgetown,MY,84.15,scattered clouds,5.4112,100.3354,Cititel Penang
144,Langsa,ID,86.13,moderate rain,4.4683,97.9683,OYO 3328 Hotel Mori
145,Yulara,AU,84.92,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
146,Alice Springs,AU,80.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
148,Baiao,BR,75.02,scattered clouds,-2.7906,-49.6717,Município de Baião
151,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le four à pain
152,Chipata,ZM,76.12,broken clouds,-13.6333,32.65,Protea Hotel by Marriott Chipata
156,Ponerihouen,NC,76.24,overcast clouds,-21.0833,165.4,Camping de Tiakan
157,Yanam,IN,89.44,few clouds,16.7333,82.2167,The Regency Hotel
158,Honiara,SB,83.88,scattered clouds,-9.4333,159.95,Heritage Park Hotel
159,Nsanje,MW,80.92,scattered clouds,-16.92,35.262,Nsanje Discovery Lodge
160,Sao Joao Da Barra,BR,71.87,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
161,Inhambane,MZ,78.78,broken clouds,-23.865,35.3833,Oceano
162,Bengkulu,ID,78.1,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
163,Quatre Cocos,MU,77.11,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
164,Umm Lajj,SA,78.37,clear sky,25.0213,37.2685,Moon light Furnished Units
166,Porto Walter,BR,74.73,overcast clouds,-8.2686,-72.7439,Hotel Silva
171,Tabou,CI,76.19,moderate rain,4.423,-7.3528,hotêl doufoulougou
174,Kavieng,PG,85.17,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
177,Mawlaik,MM,70.77,overcast clouds,23.6333,94.4167,AKZ Guest House
178,Camocim,BR,77.7,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
179,Daru,PG,85.62,clear sky,-9.0763,143.2092,Daru Lodge
181,Cabo San Lucas,MX,78.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
182,Lorengau,PG,86.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
192,Ocos,GT,79.12,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
193,Hervey Bay,AU,73.85,few clouds,-25.2986,152.8535,Shelly Bay Resort
198,Panama City,PA,75.38,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
199,Trinidad,BO,76.08,clear sky,-14.8333,-64.9,Hotel Piesta
200,Kirakira,SB,82.87,few clouds,-10.4544,161.9205,SanBiz Lodge
202,Ixtapa,MX,79.23,overcast clouds,20.7,-105.2,hotel la terminal
203,Geraldton,AU,70.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
209,Buala,SB,83.61,light rain,-8.145,159.5921,Maringe Lagoon Lodge
212,Broken Hill,AU,72.88,broken clouds,-31.95,141.4333,Royal Exchange Hotel
213,Kassala,SD,81.79,scattered clouds,15.451,36.4,Amassi Hotel Gash
215,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
216,Kavaratti,IN,81.68,clear sky,10.5669,72.642,Green leaf
218,Angoche,MZ,77.47,clear sky,-16.2325,39.9086,Guest House HESADA
220,Dingle,PH,86.2,light rain,10.9995,122.6711,SEGAYA PROPERTY
225,Daund,IN,78.6,clear sky,18.4667,74.6,Kende Wada
230,Ternate,ID,84.65,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
235,Tual,ID,83.91,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
236,Ambilobe,MG,82.76,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
243,Kathu,TH,85.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
249,Wanning,CN,78.17,broken clouds,18.8003,110.3967,Paradise Hotel
254,Tshikapa,CD,70.52,overcast clouds,-6.4167,20.8,Tatem beach
264,Villa Carlos Paz,AR,70.88,light rain,-31.4241,-64.4978,Monte Carlo vcp
267,Ghansor,IN,74.82,clear sky,22.65,79.95,Hotel Shree hi
274,Chinhoyi,ZW,76.57,broken clouds,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
285,Atar,MR,81.18,overcast clouds,20.5169,-13.0499,Oumou Elghoura
290,Kroya,ID,81.37,broken clouds,-7.6331,109.2461,Wisma Legoq Kost
293,Tahoua,NE,80.58,clear sky,14.8888,5.2692,Bungalows Guesthouse
296,Buchanan,LR,75.09,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
297,Alyangula,AU,89.67,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
298,Taki,IN,80.55,overcast clouds,22.5861,88.9214,Bisram Bagan Bari Taki
303,Cockburn Town,TC,81.28,light rain,21.4612,-71.1419,Osprey Beach Hotel
305,Damietta,EG,73.29,clear sky,31.4165,31.8133,SULIMAN INN
306,Bonthe,SL,75.13,broken clouds,7.5264,-12.505,Bonthe Holiday Village
311,Vanimo,PG,85.05,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
322,Queanbeyan,AU,71.6,light rain,-35.35,149.2333,Parkway Motel
328,Bubaque,GW,80.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
331,Sao Felix Do Xingu,BR,71.94,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
335,Sao Jose Da Coroa Grande,BR,75.79,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
338,Nosy Varika,MG,76.42,clear sky,-20.5833,48.5333,Hotel Volazara
341,Zhuhai,CN,80.38,few clouds,22.2769,113.5678,珠海粤财假日酒店
342,Mecca,SA,80.42,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
