,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,New Norfolk,AU,-42.7826,147.0587,60.3,85,100,1.01,moderate rain
1,Natal,BR,-5.795,-35.2094,79.45,83,75,10.36,broken clouds
2,Severo-Kurilsk,RU,50.6789,156.125,38.95,66,57,17.11,light rain
3,Port Alfred,ZA,-33.5906,26.891,66.18,97,61,5.01,light rain
4,Ilulissat,GL,69.2167,-51.1,27.27,97,100,4.43,light snow
5,Faanui,PF,-16.4833,-151.75,79.83,77,100,17.85,overcast clouds
6,Kodiak,US,57.79,-152.4072,44.11,57,0,4.61,clear sky
7,Mahebourg,MU,-20.4081,57.7,77.29,65,40,11.5,scattered clouds
8,Bethel,US,41.3712,-73.414,61.48,89,100,3.44,mist
9,Vaini,TO,-21.2,-175.2,73.56,60,75,10.36,broken clouds
10,Yellowknife,CA,62.456,-114.3525,27.12,86,100,9.22,overcast clouds
11,Padang,ID,-0.9492,100.3543,82.45,78,100,4.76,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,37.06,81,20,20.71,few clouds
13,Rio Gallegos,AR,-51.6226,-69.2181,35.65,75,0,11.5,clear sky
14,Provideniya,RU,64.3833,-173.3,23.36,63,20,4.47,fog
15,Chilca,PE,-12.5211,-76.7372,60.19,88,50,7.96,scattered clouds
16,San Jeronimo,PE,-11.9472,-75.2829,53.67,74,99,1.54,overcast clouds
17,Airai,TL,-8.9266,125.4092,77.54,50,100,1.79,overcast clouds
18,Paamiut,GL,61.994,-49.6678,30.47,77,95,7.99,overcast clouds
19,Coihaique,CL,-45.5752,-72.0662,48.81,81,100,2.3,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,57.47,36,0,2.71,clear sky
21,Hermanus,ZA,-34.4187,19.2345,60.8,69,100,10.22,overcast clouds
22,Kapaa,US,22.0752,-159.319,84.18,80,75,18.41,broken clouds
23,Tumkur,IN,13.3422,77.1017,75.4,46,2,5.19,clear sky
24,Rikitea,PF,-23.1203,-134.9692,73.17,81,3,16.33,light rain
25,Lagos,NG,6.5833,3.75,77.32,94,99,1.54,overcast clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,92,75,3.44,light snow
27,Upernavik,GL,72.7868,-56.1549,27.3,94,100,8.97,light snow
28,Albany,US,42.6001,-73.9662,58.26,95,100,2.62,overcast clouds
29,Lutz,US,28.1511,-82.4615,75.78,76,0,0.0,clear sky
30,Half Moon Bay,US,37.4636,-122.4286,61.61,68,0,13.8,clear sky
31,Bluff,NZ,-46.6,168.3333,57.79,65,0,11.5,clear sky
32,Luderitz,NA,-26.6481,15.1594,60.4,78,100,14.25,overcast clouds
33,Thinadhoo,MV,0.5333,72.9333,82.42,74,25,9.57,scattered clouds
34,Zunyi,CN,27.6867,106.9072,73.85,41,87,9.22,overcast clouds
35,Khandbari,NP,27.3747,87.2039,73.2,52,15,3.13,few clouds
36,Krasnovishersk,RU,60.4078,57.082,30.13,95,99,6.24,overcast clouds
37,Norman Wells,CA,65.282,-126.8329,21.24,93,100,4.61,light snow
38,Barrow,US,71.2906,-156.7887,15.82,92,0,20.71,clear sky
39,Hilo,US,19.7297,-155.09,78.53,81,40,3.44,scattered clouds
40,Seydi,TM,39.4816,62.9137,55.98,58,100,4.92,light rain
41,Houston,US,29.7633,-95.3633,78.13,82,75,11.5,haze
42,Port Elizabeth,ZA,-33.918,25.5701,67.32,99,75,13.8,mist
43,Faya,SA,18.3851,42.4509,59.11,47,0,3.94,clear sky
44,Punta Arenas,CL,-53.15,-70.9167,32.11,86,0,8.05,clear sky
45,Port Lincoln,AU,-34.7333,135.8667,62.82,76,87,11.72,overcast clouds
46,Naze,JP,28.3667,129.4833,68.92,55,95,18.57,overcast clouds
47,Aklavik,CA,68.2191,-135.0107,1.33,99,62,1.48,broken clouds
48,Aasiaat,GL,68.7098,-52.8699,31.12,84,100,18.72,overcast clouds
49,Karratha,AU,-20.7377,116.8463,85.89,26,0,15.03,clear sky
50,Bredasdorp,ZA,-34.5322,20.0403,61.18,61,100,12.06,overcast clouds
51,Vardo,NO,70.3705,31.1107,30.18,80,99,11.5,overcast clouds
52,Kuala Terengganu,MY,5.3302,103.1408,86.99,74,20,13.0,few clouds
53,Ponta Do Sol,PT,32.6667,-17.1,72.01,90,94,3.29,light rain
54,Bridge City,US,30.0208,-93.8457,75.97,90,0,11.5,clear sky
55,Leshan,CN,29.5623,103.7639,60.89,87,100,3.11,overcast clouds
56,Lebu,CL,-37.6167,-73.65,49.68,92,100,3.98,overcast clouds
57,Tiksi,RU,71.6872,128.8694,18.77,95,100,0.96,light snow
58,Ambunti,PG,-4.2365,142.8448,91.22,55,80,0.67,broken clouds
59,Alta Gracia,AR,-31.6529,-64.4283,72.37,59,22,2.82,few clouds
60,Shimoda,JP,34.6667,138.95,57.56,76,100,15.88,light rain
61,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,82,40,18.16,scattered clouds
62,Lipin Bor,RU,60.2622,37.9763,31.69,87,68,2.75,broken clouds
63,Palmer,US,42.1584,-72.3287,58.62,84,100,3.56,overcast clouds
64,Bad Aibling,DE,47.8638,12.0106,52.29,97,95,3.0,overcast clouds
65,Zhezkazgan,KZ,47.8043,67.7144,28.38,50,0,11.18,clear sky
66,Sinfra,CI,6.6167,-5.9167,69.82,99,66,2.48,broken clouds
67,Nouadhibou,MR,20.931,-17.0347,64.38,100,75,6.91,fog
68,Saint-Dizier,FR,48.4167,5.0833,53.94,96,24,7.25,few clouds
69,Rumoi,JP,43.9344,141.6428,47.8,46,1,2.51,clear sky
70,Cape Town,ZA,-33.9258,18.4232,62.1,65,75,8.05,broken clouds
71,Alofi,NU,-19.0595,-169.9187,75.09,60,71,13.8,broken clouds
72,Hays,US,30.0502,-98.0336,63.68,81,33,5.01,scattered clouds
73,Hobe Sound,US,27.0595,-80.1364,76.98,73,0,8.05,clear sky
74,Hithadhoo,MV,-0.6,73.0833,82.38,73,22,7.07,few clouds
75,Sur,OM,22.5667,59.5289,86.49,38,0,2.95,clear sky
76,Jamestown,US,42.097,-79.2353,58.05,89,0,6.91,clear sky
77,Port Augusta,AU,-32.5,137.7667,77.14,33,44,9.06,scattered clouds
78,Klaksvik,FO,62.2266,-6.589,50.92,98,100,23.62,moderate rain
79,Namibe,AO,-15.1961,12.1522,68.7,83,15,4.07,light rain
80,Balykshi,KZ,47.0667,51.8667,48.2,93,75,17.9,mist
81,Laguna De Perlas,NI,12.3429,-83.6712,77.88,87,100,3.6,light rain
82,Coahuayana,MX,18.7333,-103.6833,75.67,94,75,2.37,broken clouds
83,Atuona,PF,-9.8,-139.0333,76.78,76,7,17.6,clear sky
84,Aswan,EG,24.0934,32.907,67.3,42,0,8.05,clear sky
85,Saint-Pierre,RE,-21.3393,55.4781,77.92,61,0,5.75,clear sky
86,Batticaloa,LK,7.7102,81.6924,84.76,67,26,5.08,scattered clouds
87,Ylivieska,FI,64.0833,24.55,32.32,80,86,4.63,overcast clouds
88,Samarai,PG,-10.6167,150.6667,83.43,66,45,11.05,scattered clouds
89,Puerto Ayora,EC,-0.7393,-90.3518,66.54,90,100,5.99,overcast clouds
90,Coos Bay,US,43.3665,-124.2179,52.99,100,100,3.44,overcast clouds
91,Haukipudas,FI,65.1765,25.3523,21.25,85,53,8.19,broken clouds
92,Keetmanshoop,NA,-26.5833,18.1333,66.54,35,100,6.73,overcast clouds
93,Aripuana,BR,-9.1667,-60.6333,73.22,95,91,1.9,overcast clouds
94,Gejiu,CN,23.306,103.1635,64.72,64,70,6.98,broken clouds
95,Lagoa,PT,39.05,-27.9833,64.0,74,76,26.42,light rain
96,Arraial Do Cabo,BR,-22.9661,-42.0278,70.99,87,100,7.7,overcast clouds
97,Havoysund,NO,70.9963,24.6622,39.43,78,83,12.21,broken clouds
98,Carnarvon,AU,-24.8667,113.6333,77.07,20,0,25.32,clear sky
99,Bathsheba,BB,13.2167,-59.5167,81.21,89,20,6.91,few clouds
100,Avarua,CK,-21.2078,-159.775,75.25,69,20,8.05,few clouds
101,Talnakh,RU,69.4865,88.3972,24.21,96,100,5.57,light snow
102,Graham,US,47.0529,-122.2943,50.67,85,75,10.36,broken clouds
103,Qaanaaq,GL,77.484,-69.3632,16.74,70,99,7.76,overcast clouds
104,Codrington,AU,-38.2667,141.9667,62.74,89,96,7.83,overcast clouds
105,Narsaq,GL,60.9167,-46.05,20.84,78,67,5.5,broken clouds
106,Beringovskiy,RU,63.05,179.3167,30.54,84,100,11.1,light snow
107,San Quintin,MX,30.4833,-115.95,64.8,62,0,6.98,clear sky
108,Nikolayevsk-Na-Amure,RU,53.1406,140.73,40.39,55,83,9.8,broken clouds
109,Castro,BR,-24.7911,-50.0119,59.09,88,72,8.19,broken clouds
110,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,38,20,8.95,few clouds
111,Maxixe,MZ,-23.8597,35.3472,78.62,89,75,4.61,broken clouds
112,Chapais,CA,49.7834,-74.8492,46.18,84,67,6.42,broken clouds
113,Leningradskiy,RU,69.3833,178.4167,5.31,94,40,5.01,scattered clouds
114,Portland,US,45.5234,-122.6762,51.78,93,40,3.44,scattered clouds
115,Namtsy,RU,62.7161,129.6658,28.36,79,79,15.68,broken clouds
116,Piterka,RU,50.6803,47.4454,44.06,78,100,14.34,overcast clouds
117,Khomutovo,RU,52.4658,104.4025,38.01,39,0,3.69,clear sky
118,Mazara Del Vallo,IT,37.6641,12.588,66.94,66,17,8.16,few clouds
119,Victoria,HK,22.2855,114.1577,80.96,59,99,18.99,overcast clouds
120,Sao Filipe,CV,14.8961,-24.4956,76.53,79,7,4.99,clear sky
121,Son La,VN,21.3167,103.9,80.1,56,72,5.06,broken clouds
122,Bani Walid,LY,31.7566,13.9942,63.99,49,0,5.01,clear sky
123,Fukue,JP,32.6881,128.8419,64.76,45,40,17.27,scattered clouds
124,East London,ZA,-33.0153,27.9116,65.34,94,20,2.3,few clouds
125,Bandarbeyla,SO,9.4942,50.8122,80.17,65,54,7.7,broken clouds
126,Tamiahua,MX,21.2667,-97.45,76.5,93,81,7.47,broken clouds
127,Pontianak,ID,-0.0333,109.3333,84.18,74,75,11.5,broken clouds
128,Nanortalik,GL,60.1432,-45.2371,32.68,80,99,5.59,overcast clouds
129,Cidreira,BR,-30.1811,-50.2056,64.27,70,71,10.36,broken clouds
130,Garcia,MX,25.8167,-100.5833,76.86,74,18,0.89,few clouds
131,Katsuura,JP,35.1333,140.3,55.42,74,100,23.91,light rain
132,Mikuni,JP,36.2171,136.1519,62.51,63,66,20.0,broken clouds
133,Lata,PT,40.1629,-8.3327,62.08,85,98,6.38,overcast clouds
134,Meulaboh,ID,4.1363,96.1285,85.8,66,66,9.15,broken clouds
135,Pochutla,MX,15.7432,-96.4661,75.81,94,61,3.15,broken clouds
136,Svetlyy,RU,54.675,20.1347,53.65,95,98,9.48,overcast clouds
137,Pinega,RU,64.7001,43.3936,30.79,92,51,5.21,broken clouds
138,Rocha,UY,-34.4833,-54.3333,51.08,95,1,5.99,clear sky
139,Butaritari,KI,3.0707,172.7902,81.72,74,12,11.61,few clouds
140,Tuatapere,NZ,-46.1333,167.6833,55.76,54,0,6.44,clear sky
141,Ocean City,US,39.2776,-74.5746,63.0,93,93,1.74,overcast clouds
142,Busselton,AU,-33.65,115.3333,66.4,48,38,15.14,scattered clouds
143,Georgetown,MY,5.4112,100.3354,84.15,82,40,7.0,scattered clouds
144,Langsa,ID,4.4683,97.9683,86.13,68,100,0.65,moderate rain
145,Yulara,AU,-25.2406,130.9889,84.92,35,76,19.71,broken clouds
146,Alice Springs,AU,-23.7,133.8833,80.15,39,75,26.46,broken clouds
147,Hasaki,JP,35.7333,140.8333,57.22,61,100,28.97,moderate rain
148,Baiao,BR,-2.7906,-49.6717,75.02,88,27,1.97,scattered clouds
149,Abu Kamal,SY,34.4506,40.9171,69.66,28,0,3.36,clear sky
150,Adrar,MR,20.5022,-10.0711,80.44,24,99,5.84,overcast clouds
151,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,37,10.22,scattered clouds
152,Chipata,ZM,-13.6333,32.65,76.12,39,53,10.33,broken clouds
153,Poum,NC,-20.2333,164.0167,78.04,75,100,18.86,overcast clouds
154,Sitka,US,57.0531,-135.33,42.69,75,0,6.91,clear sky
155,Shingu,JP,33.7333,135.9833,61.92,67,67,7.87,broken clouds
156,Ponerihouen,NC,-21.0833,165.4,76.24,75,87,11.7,overcast clouds
157,Yanam,IN,16.7333,82.2167,89.44,46,21,1.45,few clouds
158,Honiara,SB,-9.4333,159.95,83.88,77,39,5.35,scattered clouds
159,Nsanje,MW,-16.92,35.262,80.92,60,30,4.74,scattered clouds
160,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.87,86,75,3.4,broken clouds
161,Inhambane,MZ,-23.865,35.3833,78.78,89,75,4.61,broken clouds
162,Bengkulu,ID,-3.8004,102.2655,78.1,83,100,4.92,moderate rain
163,Quatre Cocos,MU,-20.2078,57.7625,77.11,62,5,12.59,clear sky
164,Umm Lajj,SA,25.0213,37.2685,78.37,54,1,8.3,clear sky
165,Atbasar,KZ,51.8,68.3333,36.09,38,73,12.28,broken clouds
166,Porto Walter,BR,-8.2686,-72.7439,74.73,91,100,2.73,overcast clouds
167,Saskylakh,RU,71.9167,114.0833,12.83,94,100,9.24,overcast clouds
168,Emerald,AU,-23.5333,148.1667,93.34,30,0,20.45,clear sky
169,Kalevala,RU,65.2,31.1667,29.05,91,73,3.2,broken clouds
170,Husavik,IS,66.0449,-17.3389,37.08,86,95,6.31,overcast clouds
171,Tabou,CI,4.423,-7.3528,76.19,91,45,6.49,moderate rain
172,Udachnyy,RU,66.4167,112.4,23.45,67,18,17.0,few clouds
173,Thompson,CA,55.7435,-97.8558,28.56,93,100,18.41,light snow
174,Kavieng,PG,-2.5744,150.7967,85.17,66,94,4.43,overcast clouds
175,San Rafael,AR,-34.6177,-68.3301,66.51,51,31,6.44,scattered clouds
176,Teya,RU,60.3778,92.6267,31.57,78,100,13.4,overcast clouds
177,Mawlaik,MM,23.6333,94.4167,70.77,99,100,2.59,overcast clouds
178,Camocim,BR,-2.9022,-40.8411,77.7,83,6,13.0,clear sky
179,Daru,PG,-9.0763,143.2092,85.62,66,9,9.42,clear sky
180,Melk,AT,48.2274,15.3319,57.78,97,100,5.08,overcast clouds
181,Cabo San Lucas,MX,22.8909,-109.9124,78.51,67,63,3.6,broken clouds
182,Lorengau,PG,-2.0226,147.2712,86.77,60,100,6.46,overcast clouds
183,Chuy,UY,-33.6971,-53.4616,54.23,94,1,4.85,clear sky
184,Margate,GB,51.3813,1.3862,53.69,91,18,3.0,few clouds
185,Tsaratanana,MG,-16.7833,47.65,80.13,62,18,1.45,few clouds
186,Serebryansk,KZ,49.6925,83.2892,37.4,46,0,5.23,clear sky
187,Beyneu,KZ,45.3167,55.2,54.1,67,100,14.52,overcast clouds
188,Hostotipaquillo,MX,21.0667,-104.0667,67.05,96,34,2.53,scattered clouds
189,Khatanga,RU,71.9667,102.5,1.74,97,94,3.0,overcast clouds
190,Lillooet,CA,50.6856,-121.942,42.26,90,81,4.23,broken clouds
191,Khani,GE,41.9563,42.9566,45.97,95,99,1.3,overcast clouds
192,Ocos,GT,14.5094,-92.1933,79.12,81,32,3.78,scattered clouds
193,Hervey Bay,AU,-25.2986,152.8535,73.85,87,19,16.64,few clouds
194,Mehriz,IR,31.5917,54.4318,63.1,21,99,0.87,overcast clouds
195,Dunda,TZ,-8.1167,34.25,72.14,54,93,2.71,overcast clouds
196,Oktyabrskiy,RU,54.4815,53.471,34.39,82,97,9.44,overcast clouds
197,Korla,CN,41.7597,86.1469,58.44,32,50,6.78,scattered clouds
198,Panama City,PA,8.9936,-79.5197,75.38,89,40,2.3,scattered clouds
199,Trinidad,BO,-14.8333,-64.9,76.08,79,7,2.82,clear sky
200,Kirakira,SB,-10.4544,161.9205,82.87,77,24,3.51,few clouds
201,Rafai,CF,4.95,23.9167,70.48,96,83,1.43,light rain
202,Ixtapa,MX,20.7,-105.2,79.23,84,100,2.13,overcast clouds
203,Geraldton,AU,-28.7667,114.6,70.21,52,75,18.41,broken clouds
204,Patacamaya,BO,-17.2333,-67.9167,44.8,83,58,7.87,broken clouds
205,Ossora,RU,59.2353,163.0719,32.31,84,100,7.18,overcast clouds
206,Pevek,RU,69.7008,170.3133,1.89,96,36,7.38,scattered clouds
207,Pisco,PE,-13.7,-76.2167,60.03,88,0,10.36,clear sky
208,Xichang,CN,27.8964,102.2634,67.17,82,88,4.61,overcast clouds
209,Buala,SB,-8.145,159.5921,83.61,74,49,4.18,light rain
210,Moshkovo,RU,55.3053,83.6104,36.21,54,63,15.61,broken clouds
211,Say,NE,13.1007,2.3689,81.16,32,38,7.02,scattered clouds
212,Broken Hill,AU,-31.95,141.4333,72.88,40,54,15.5,broken clouds
213,Kassala,SD,15.451,36.4,81.79,58,30,4.07,scattered clouds
214,Kem,RU,64.9555,34.5793,30.92,87,81,5.44,broken clouds
215,Isangel,VU,-19.55,169.2667,84.31,61,40,11.5,scattered clouds
216,Kavaratti,IN,10.5669,72.642,81.68,69,10,1.16,clear sky
217,Santiago,CL,-33.4569,-70.6483,62.85,49,0,8.05,clear sky
218,Angoche,MZ,-16.2325,39.9086,77.47,72,2,12.28,clear sky
219,Baghdad,IQ,33.3406,44.4009,62.51,55,0,9.22,clear sky
220,Dingle,PH,10.9995,122.6711,86.2,70,100,7.29,light rain
221,Saint Anthony,US,45.0205,-93.218,46.89,78,100,11.5,overcast clouds
222,Sterling,US,39.0062,-77.4286,60.22,91,100,0.0,overcast clouds
223,Lerwick,GB,60.1545,-1.1494,51.8,95,100,3.98,light rain
224,Khonsa,IN,27.0167,95.5667,65.53,94,100,1.54,overcast clouds
225,Daund,IN,18.4667,74.6,78.6,43,0,4.85,clear sky
226,Chokurdakh,RU,70.6333,147.9167,3.45,88,100,4.83,overcast clouds
227,Esperance,AU,-33.8667,121.9,62.22,77,100,13.31,overcast clouds
228,Yenotayevka,RU,47.2456,47.0281,48.4,82,100,18.81,overcast clouds
229,Nyurba,RU,63.2842,118.3319,29.8,80,98,10.78,overcast clouds
230,Ternate,ID,0.8,127.4,84.65,74,81,9.51,broken clouds
231,Hobart,AU,-42.8794,147.3294,60.66,94,100,10.36,light rain
232,Kamenka,RU,51.3223,42.7678,38.52,82,69,7.56,broken clouds
233,Eureka,US,40.8021,-124.1637,57.2,86,100,1.01,overcast clouds
234,Mehamn,NO,71.0357,27.8492,35.55,87,100,11.5,overcast clouds
235,Tual,ID,-5.6667,132.75,83.91,72,93,4.79,overcast clouds
236,Ambilobe,MG,-13.2,49.05,82.76,43,15,4.85,few clouds
237,Barguzin,RU,53.6167,109.6167,33.37,52,36,9.8,scattered clouds
238,Nurota,UZ,40.5614,65.6886,59.85,57,91,4.25,overcast clouds
239,Wolfenbuttel,DE,52.1667,10.55,57.65,81,100,9.22,overcast clouds
240,North Myrtle Beach,US,33.816,-78.68,62.1,96,100,0.0,fog
241,Shumskiy,RU,54.8318,99.1328,39.47,28,27,3.65,scattered clouds
242,Clyde River,CA,70.4692,-68.5914,10.63,61,0,16.11,clear sky
243,Kathu,TH,7.9178,98.3332,85.82,99,100,8.14,overcast clouds
244,Solnechnyy,RU,50.7214,136.6319,42.87,42,34,4.38,scattered clouds
245,Thung Song,TH,8.1645,99.6804,92.05,59,100,2.44,overcast clouds
246,Pacific Grove,US,36.6177,-121.9166,57.02,76,0,3.0,smoke
247,Longyearbyen,SJ,78.2186,15.6401,17.44,67,20,3.44,few clouds
248,Akhmim,EG,26.5622,31.745,66.4,58,0,8.5,clear sky
249,Wanning,CN,18.8003,110.3967,78.17,88,61,13.78,broken clouds
250,Oranjemund,NA,-28.55,16.4333,59.5,86,100,12.64,overcast clouds
251,Palmares Do Sul,BR,-30.2578,-50.5097,62.78,72,5,9.51,clear sky
252,Mount Gambier,AU,-37.8333,140.7667,60.71,94,100,12.66,overcast clouds
253,Havelock,US,34.8791,-76.9013,62.58,91,100,3.44,overcast clouds
254,Tshikapa,CD,-6.4167,20.8,70.52,96,100,1.97,overcast clouds
255,Fort Nelson,CA,58.8053,-122.7002,24.94,93,100,5.75,light snow
256,Nikolskoye,RU,59.7035,30.7861,26.49,86,99,3.83,overcast clouds
257,Mayo,US,38.8876,-76.5119,60.94,95,100,0.0,haze
258,Komsomolskiy,UZ,40.4272,71.7189,52.52,93,100,4.61,mist
259,Pahrump,US,36.2083,-115.9839,53.26,22,0,3.0,clear sky
260,Kupang,ID,-10.1667,123.5833,91.98,66,20,11.5,few clouds
261,Cajabamba,PE,-7.6167,-78.05,55.27,78,99,1.57,overcast clouds
262,Kargil,IN,34.5667,76.1,39.58,37,7,0.63,clear sky
263,Sobolevo,RU,54.4299,31.8996,41.5,86,99,6.4,overcast clouds
264,Villa Carlos Paz,AR,-31.4241,-64.4978,70.88,33,24,3.42,light rain
265,Mar Del Plata,AR,-38.0023,-57.5575,60.1,89,0,7.0,clear sky
266,Berlevag,NO,70.8578,29.0864,35.6,75,75,18.41,broken clouds
267,Ghansor,IN,22.65,79.95,74.82,47,0,4.63,clear sky
268,La Ronge,CA,55.1001,-105.2842,32.25,69,75,10.36,broken clouds
269,Camacha,PT,33.0833,-16.3333,67.42,88,20,8.05,few clouds
270,Horadiz,AZ,39.4488,47.3353,47.17,50,2,3.62,clear sky
271,Westport,US,41.1415,-73.3579,65.07,93,100,10.36,mist
272,Trofors,NO,65.5333,13.4063,31.87,83,98,4.56,overcast clouds
273,Mitu,CO,1.1983,-70.1733,69.67,99,81,1.16,moderate rain
274,Chinhoyi,ZW,-17.3667,30.2,76.57,42,79,8.12,broken clouds
275,Bafra,TR,41.5678,35.9069,60.31,78,0,4.18,clear sky
276,Aguimes,ES,27.9054,-15.4461,68.63,83,40,8.99,scattered clouds
277,Robertson,US,36.5167,-86.8667,66.88,52,75,4.61,broken clouds
278,Palana,RU,59.1167,159.9667,27.84,92,100,10.27,light snow
279,Taoudenni,ML,22.6783,-3.9836,78.13,17,95,9.78,overcast clouds
280,Zalantun,CN,48.0,122.7167,54.16,27,8,12.06,clear sky
281,Fairbanks,US,64.8378,-147.7164,26.22,89,100,3.44,light shower snow
282,Strezhevoy,RU,60.7333,77.5889,31.78,76,100,15.55,light snow
283,Coaldale,CA,49.7167,-112.6185,40.32,65,40,21.85,scattered clouds
284,Lusambo,CD,-4.9667,23.45,69.94,94,100,1.12,overcast clouds
285,Atar,MR,20.5169,-13.0499,81.18,46,96,4.72,overcast clouds
286,Torzhok,RU,57.0436,34.9622,31.26,77,93,2.82,overcast clouds
287,Ilo,PE,-17.6394,-71.3375,60.64,81,64,3.27,broken clouds
288,Odesskoye,RU,54.2111,72.9651,30.79,72,31,13.04,scattered clouds
289,Alekseyevsk,RU,57.8406,108.3492,33.69,63,100,13.91,overcast clouds
290,Kroya,ID,-7.6331,109.2461,81.37,78,70,7.65,broken clouds
291,Ginir,ET,7.1333,40.7,62.8,71,38,1.01,scattered clouds
292,Shubarkuduk,KZ,49.1447,56.4872,44.87,66,100,12.84,overcast clouds
293,Tahoua,NE,14.8888,5.2692,80.58,26,0,6.91,clear sky
294,Ribeira Grande,PT,38.5167,-28.7,64.78,83,90,17.0,overcast clouds
295,Okhotsk,RU,59.3833,143.3,21.65,62,100,7.02,overcast clouds
296,Buchanan,LR,5.8808,-10.0467,75.09,92,97,3.24,light rain
297,Alyangula,AU,-13.8483,136.4192,89.67,60,11,15.37,few clouds
298,Taki,IN,22.5861,88.9214,80.55,74,89,6.6,overcast clouds
299,Ancud,CL,-41.8697,-73.8203,48.47,95,93,4.85,overcast clouds
300,Tamworth,GB,52.634,-1.6959,52.93,94,47,4.0,scattered clouds
301,Esmeraldas,BR,-19.7625,-44.3139,65.26,87,2,2.48,clear sky
302,La Rioja,ES,42.25,-2.5,47.98,77,100,6.78,overcast clouds
303,Cockburn Town,TC,21.4612,-71.1419,81.28,68,100,7.4,light rain
304,Umm Kaddadah,SD,13.6017,26.6876,73.99,29,1,14.92,clear sky
305,Damietta,EG,31.4165,31.8133,73.29,72,0,9.37,clear sky
306,Bonthe,SL,7.5264,-12.505,75.13,91,57,3.04,broken clouds
307,Goderich,CA,43.7501,-81.7165,59.32,55,100,10.36,overcast clouds
308,Saint George,US,37.1041,-113.5841,50.59,48,0,1.01,clear sky
309,Maarianhamina,AX,60.0973,19.9348,48.06,93,100,11.5,overcast clouds
310,Wolkersdorf,AT,48.3833,16.5167,59.09,92,99,4.25,overcast clouds
